Province	Island	Site	Area Transect	ID Transect	Data	Depth (m)	Species Richnes (spp/tran)	Density (ind/m2)	Biomass (g/m2)
swa	trindade	ponta_norte	40	tri_ponta_norte_199	jun_2009	8	13	2.88	553.58
swa	martin_vaz	lado_oeste	40	mvz_lado_oeste_9970	aug_2013	9	15	3.23	1190.22
swa	stpauls_rocks	cabeco_tartaruga	40	spr_cabeco_tartaruga_4870	apr_2012	24	9	3.82	73.48
swa	trindade	tartarugas	40	tri_tartarugas_118	jun_2009	10	13	3.65	400.96
cen_atla	ascension	guano_jetty	40	asc_guano_jetty_5023	aug_2015	10	17	2.4	153.34
swa	rocas	zulu	40	roc_zulu_4293	feb_2012	1.5	16	11.08	360.72
swa	trindade	parcel	40	tri_parcel_98	jun_2009	8	14	2.73	431.23
cen_atla	ascension	northeast_point	40	asc_northeast_point_5035	aug_2015	7	17	4.22	631.75
swa	stpauls_rocks	boia	40	spr_boia_2714	apr_2012	32	12	7.42	575.97
cen_atla	ascension	comfortless_cove	40	asc_comfortless_cove_5083	aug_2015	5	15	4.73	469.5
swa	trindade	lixo	40	tri_lixo_228	jun_2009	18	10	1.48	273.81
swa	stpauls_rocks	cabeco_tartaruga	40	spr_cabeco_tartaruga_2723	apr_2012	24	12	5.95	566.77
swa	trindade	farol	40	tri_farol_170	jun_2009	7	16	3.12	1016.06
swa	trindade	lixo	40	tri_lixo_10012	jun_2009	12	19	2.77	642.78
swa	stpauls_rocks	sp_fora	40	spr_sp_fora_2922	apr_2012	15	9	4.38	357.68
swa	stpauls_rocks	boia	40	spr_boia_2709	apr_2012	33	12	7.75	499.43
swa	noronha	sancho	40	fno_sancho_1131	jun_2007	3.5	16	3.33	116.14
cen_atla	ascension	northeast_point	40	asc_northeast_point_5038	aug_2015	8	14	6.47	823.98
swa	stpauls_rocks	enseada	40	spr_enseada_2748	apr_2012	25	11	9.95	824.71
swa	trindade	cabritas	40	tri_cabritas_4846	jun_2009	5	13	2.75	590.63
cen_atla	ascension	northeast_point	40	asc_northeast_point_5044	aug_2015	7	16	3.98	528.89
swa	stpauls_rocks	enseada	40	spr_enseada_2764	apr_2012	33	13	6.38	701.36
swa	rocas	podes_crer	40	roc_podes_crer_1298	feb_2012	1.5	5	5.83	68.32
tea	principe	ilheu_dos_mosteiros	40	prin_ilheu_dos_mosteiros_5103	jan_2016	7	14	9.9	141.62
swa	trindade	farol	40	tri_farol_249	jun_2009	10	14	5.8	1419.82
swa	rocas	piscina_das_rocas	40	roc_piscina_das_rocas_4283	feb_2012	1	12	3.75	328.09
tea	stome	rolas_hirundino	40	sto_rolas_hirundino_3055	feb_2006	11	9	3.67	18.18
swa	trindade	cabritas	40	tri_cabritas_148	jun_2009	10	17	3.27	1174.23
tea	stome	sete_pedras_1	40	sto_sete_pedras_1_3156	feb_2006	20	10	20.88	249.1
swa	trindade	orelhas	40	tri_orelhas_147	jun_2009	3	9	3.35	835.76
tea	stome	sete_pedras_1	40	sto_sete_pedras_1_3151	feb_2006	15	12	13.18	304.91
swa	trindade	ponta_norte	40	tri_ponta_norte_192	jun_2009	12	13	2.4	365.64
swa	rocas	piscina_das_rocas	40	roc_piscina_das_rocas_4474	feb_2012	1	11	3.15	357.25
tea	stome	sete_pedras_2	40	sto_sete_pedras_2_3160	feb_2006	14	12	3.52	162.25
swa	martin_vaz	lado_oeste	40	mvz_lado_oeste_5263	aug_2013	10	12	3.35	508.29
swa	rocas	cemiterio	40	roc_cemiterio_3843	feb_2012	1	10	10.45	64.59
swa	trindade	tartarugas	40	tri_tartarugas_180	jun_2009	5	17	3.45	660.24
tea	principe	tinhosa_grande	40	prin_tinhosa_grande_5182	jan_2016	15	9	4.6	154.16
swa	martin_vaz	lado_oeste	40	mvz_lado_oeste_9976	aug_2013	9	12	2.75	937.46
tea	stome	cabras_kia	40	sto_cabras_kia_3026	feb_2006	20	23	35.02	456.68
tea	principe	tinhosa_grande	40	prin_tinhosa_grande_5202	jan_2016	15	10	7.35	453.37
swa	rocas	ancoras	40	roc_ancoras_4800	feb_2012	1	10	11.35	150.54
swa	trindade	calheta	40	tri_calheta_293	jun_2009	15	16	3.83	345.78
tea	principe	ilheu_bombom	40	prin_ilheu_bombom_5169	jan_2016	10	12	3.2	248.55
tea	stome	sete_pedras_1	40	sto_sete_pedras_1_3148	feb_2006	19	14	3.65	228.9
swa	trindade	parcel	40	tri_parcel_103	jun_2009	7	10	3.33	398.75
tea	principe	tinhosa_grande	40	prin_tinhosa_grande_5186	jan_2016	10	10	5.4	105.77
swa	trindade	parcel	40	tri_parcel_96	jun_2009	7	8	1.92	309.19
swa	rocas	ancoras	40	roc_ancoras_14685	feb_2012	3	14	9.32	235.02
swa	rocas	cemiterio	40	roc_cemiterio_2693	feb_2012	4	10	9.32	109.06
swa	rocas	piscina_das_rocas	40	roc_piscina_das_rocas_4077	feb_2012	1	12	4.53	351.44
swa	noronha	sancho	40	fno_sancho_1128	jun_2007	4	15	1.38	78.83
swa	rocas	falsa_barreta	40	roc_falsa_barreta_4049	feb_2012	4	9	5.95	90.36
swa	martin_vaz	lado_oeste	40	mvz_lado_oeste_9969	aug_2013	10	13	3.85	569.87
swa	stpauls_rocks	boia	40	spr_boia_2718	apr_2012	32	12	10.55	704.84
tea	principe	bone_do_joquei	40	prin_bone_do_joquei_5191	jan_2016	17	15	2.27	195.17
swa	trindade	lixo	40	tri_lixo_223	jun_2009	12	12	2.42	746.19
swa	trindade	racha	40	tri_racha_241	jun_2009	30	11	1.43	108.42
swa	rocas	tartarugas	40	roc_tartarugas_574	feb_2012	3	9	13.18	304.04
tea	principe	pedra_da_gale	40	prin_pedra_da_gale_5158	jan_2016	15	11	21.52	428.45
cen_atla	ascension	guano_jetty	40	asc_guano_jetty_5024	aug_2015	6	15	6.67	302.53
tea	principe	ilheu_bombom	40	prin_ilheu_bombom_5173	jan_2016	10	17	4.4	105.1
swa	trindade	ponta_norte	40	tri_ponta_norte_124	jun_2009	15	9	1.1	267.5
swa	martin_vaz	lado_oeste	40	mvz_lado_oeste_9995	aug_2013	10	7	1.3	176.8
tea	principe	praia_banana	40	prin_praia_banana_5234	jan_2016	2	13	2.83	69.59
cen_atla	ascension	comfortless_cove	40	asc_comfortless_cove_5076	aug_2015	5	16	6.78	564.9
tea	principe	bone_do_joquei	40	prin_bone_do_joquei_5194	jan_2016	11	17	3.67	262.18
tea	principe	bone_do_joquei	40	prin_bone_do_joquei_5193	jan_2016	14	10	4.4	157.09
swa	trindade	cabritas	40	tri_cabritas_206	jun_2009	13	10	1.85	322.27
swa	rocas	piscina_das_rocas	40	roc_piscina_das_rocas_430	feb_2012	0.5	9	7.58	381.16
cen_atla	ascension	guano_jetty	40	asc_guano_jetty_5028	aug_2015	13	9	3.23	240.73
swa	noronha	canal	40	fno_canal_1078	jun_2007	7	13	1.72	229.58
tea	principe	pedra_da_gale	40	prin_pedra_da_gale_5154	jan_2016	20	9	6.38	157.24
tea	principe	ilheu_bombom	40	prin_ilheu_bombom_5171	jan_2016	11	17	6.03	128.94
swa	noronha	cagarras_noronha	40	fno_cagarras_noronha_1066	jun_2007	5	19	6	230.37
tea	principe	ilheu_bombom	40	prin_ilheu_bombom_5174	jan_2016	11	17	13.55	323.14
swa	trindade	lixo	40	tri_lixo_217	jun_2009	20	10	1.12	169.73
tea	stome	rolas_hirundino	40	sto_rolas_hirundino_3065	feb_2006	12	10	1.12	33.78
swa	rocas	ancoras	40	roc_ancoras_686	feb_2012	1	11	9.72	160.08
tea	principe	ilheu_bombom	40	prin_ilheu_bombom_5168	jan_2016	10	17	6.28	228.08
cen_atla	ascension	guano_jetty	40	asc_guano_jetty_5013	aug_2015	9	15	3.02	212.68
swa	trindade	lixo	40	tri_lixo_10007	jun_2009	7	14	2.17	484.67
swa	trindade	ponta_norte	40	tri_ponta_norte_132	jun_2009	5	11	2.98	302.25
swa	trindade	ponta_norte	40	tri_ponta_norte_133	jun_2009	5	12	2.05	499.5
swa	rocas	cemiterio	40	roc_cemiterio_965	feb_2012	1	8	12.5	33.68
tea	principe	bone_do_joquei	40	prin_bone_do_joquei_5208	jan_2016	20	15	3.17	147.78
swa	noronha	sancho	40	fno_sancho_1139	jun_2007	2.5	12	1.6	538.74
swa	noronha	conceicao	40	fno_conceicao_1093	jun_2007	2	17	3.92	168.05
swa	martin_vaz	lado_oeste	40	mvz_lado_oeste_9975	aug_2013	10.3	11	2	301.78
swa	noronha	raquel	40	fno_raquel_1118	jun_2007	1	13	2.77	877.64
swa	noronha	sueste	40	fno_sueste_1145	jun_2007	1.5	7	0.75	192.82
swa	noronha	sancho	40	fno_sancho_1127	jun_2007	9	14	2.83	429.13
swa	rocas	falsa_barreta	40	roc_falsa_barreta_1268	feb_2012	3	8	5.17	34
cen_atla	ascension	comfortless_cove	40	asc_comfortless_cove_5070	aug_2015	6	12	3.48	519.91
swa	trindade	tunel	40	tri_tunel_113	jun_2009	10	16	5.65	1527.19
swa	rocas	podes_crer	40	roc_podes_crer_14690	feb_2012	2	12	13.43	1600.24
swa	noronha	cagarras_noronha	40	fno_cagarras_noronha_1069	jun_2007	17	14	1.38	256.86
swa	noronha	raquel	40	fno_raquel_1113	jun_2007	1	11	2.1	203.04
swa	trindade	parcel	40	tri_parcel_280	jun_2009	7	16	1.65	688.76
cen_atla	ascension	comfortless_cove	40	asc_comfortless_cove_5084	aug_2015	4	12	4.33	296.38
swa	trindade	lixo	40	tri_lixo_10002	jun_2009	6	8	1.43	69.42
tea	stome	cabras_kia	40	sto_cabras_kia_3027	feb_2006	22	15	20.95	1059.06
tea	principe	tinhosa_grande	40	prin_tinhosa_grande_5200	jan_2016	19	10	2.45	47.46
swa	rocas	salao	40	roc_salao_3881	feb_2012	5.5	7	1.6	170.21
cen_atla	ascension	guano_jetty	40	asc_guano_jetty_5055	aug_2015	12	12	3.05	629.22
cen_atla	ascension	comfortless_cove	40	asc_comfortless_cove_5078	aug_2015	5	13	3.95	320.25
swa	trindade	lixo	40	tri_lixo_238	jun_2009	3	13	3.05	447.4
tea	stome	cabras_kia	40	sto_cabras_kia_3039	feb_2006	21	15	5.58	230.51
swa	rocas	laguna	40	roc_laguna_1236	feb_2012	2	13	4.97	251.3
swa	rocas	falsa_barreta	40	roc_falsa_barreta_14692	feb_2012	3	13	6.9	717.23
swa	rocas	laguna	40	roc_laguna_338	feb_2012	3	15	7.65	209.06
swa	trindade	racha	40	tri_racha_94	jun_2009	28	11	2.52	1343.38
swa	noronha	conceicao	40	fno_conceicao_1099	jun_2007	2	13	2.6	351.23
tea	principe	bone_do_joquei	40	prin_bone_do_joquei_5210	jan_2016	12	14	5.92	236.11
swa	trindade	orelhas	40	tri_orelhas_4854	jun_2009	5	12	3.02	626.73
cen_atla	ascension	guano_jetty	40	asc_guano_jetty_5030	aug_2015	10	15	3.12	346.73
swa	rocas	cemiterio	40	roc_cemiterio_2193	feb_2012	1	8	4.48	15.8
tea	stome	cabras_kia	40	sto_cabras_kia_3024	feb_2006	17	19	26.32	302.45
swa	rocas	piscina_das_rocas	40	roc_piscina_das_rocas_160	feb_2012	1	10	5.28	285.5
swa	trindade	calheta	40	tri_calheta_4851	jun_2009	3	17	4.5	509.74
tea	principe	pedra_da_gale	40	prin_pedra_da_gale_5135	jan_2016	8	13	11.75	296.17
swa	rocas	ancoras	40	roc_ancoras_4035	feb_2012	3.5	13	5.6	207.47
swa	trindade	calheta	40	tri_calheta_342	jun_2009	22	7	0.68	275.96
tea	stome	cabras_kia	40	sto_cabras_kia_3013	feb_2006	13	16	9.78	72.77
tea	principe	tinhosa_grande	40	prin_tinhosa_grande_5201	jan_2016	18	12	5.47	102.93
swa	rocas	poita_do_zeca	40	roc_poita_do_zeca_706	feb_2012	10	11	6.62	134.91
swa	stpauls_rocks	boia	40	spr_boia_2717	apr_2012	32	9	10.38	572.74
cen_atla	ascension	guano_jetty	40	asc_guano_jetty_5009	aug_2015	8	11	4	378.65
swa	trindade	cabritas	40	tri_cabritas_155	jun_2009	13	14	2.55	521.76
tea	principe	pedra_da_gale	40	prin_pedra_da_gale_5127	jan_2016	13	17	13.18	168.86
swa	noronha	laje	40	fno_laje_1110	jun_2007	19	17	2.67	311.97
tea	principe	ilheu_dos_mosteiros	40	prin_ilheu_dos_mosteiros_5104	jan_2016	5	11	7.08	103.09
swa	trindade	calheta	40	tri_calheta_309	jun_2009	22	16	3.33	569.86
tea	principe	bone_do_joquei	40	prin_bone_do_joquei_5209	jan_2016	17	16	4.2	219.11
swa	rocas	falsa_barreta	40	roc_falsa_barreta_14676	feb_2012	2	9	3.93	101.61
swa	trindade	lixo	40	tri_lixo_10003	jun_2009	7	13	1.23	226.83
swa	trindade	parcel	40	tri_parcel_102	jun_2009	7	7	2	224.47
swa	rocas	ancoras	40	roc_ancoras_4436	feb_2012	0.5	10	5.72	170.52
tea	principe	pedra_da_gale	40	prin_pedra_da_gale_5134	jan_2016	10	12	9.82	657.2
swa	rocas	podes_crer	40	roc_podes_crer_14691	feb_2012	2	12	6	154.13
cen_atla	ascension	comfortless_cove	40	asc_comfortless_cove_5080	aug_2015	4	11	2.98	284.52
swa	trindade	tartarugas	40	tri_tartarugas_122	jun_2009	10	17	2.73	770.05
swa	trindade	lixo	40	tri_lixo_225	jun_2009	10	19	2.58	475.66
swa	trindade	ponta_norte	40	tri_ponta_norte_127	jun_2009	15	14	3.6	831.53
swa	trindade	farol	40	tri_farol_164	jun_2009	12	6	0.85	248.83
swa	noronha	conceicao	40	fno_conceicao_1098	jun_2007	2.5	11	1.48	114.77
swa	rocas	tartarugas	40	roc_tartarugas_436	feb_2012	3	9	20.38	416.27
tea	stome	cabras_kia	40	sto_cabras_kia_3035	feb_2006	13	13	2.15	312.22
swa	rocas	piscina_das_rocas	40	roc_piscina_das_rocas_1433	feb_2012	1.5	14	10.93	644.21
swa	trindade	orelhas	40	tri_orelhas_142	jun_2009	9	11	0.85	136.31
tea	principe	bone_do_joquei	40	prin_bone_do_joquei_5212	jan_2016	8	16	15.12	462.28
swa	martin_vaz	lado_oeste	40	mvz_lado_oeste_9971	aug_2013	8.6	15	4.05	1838.53
swa	rocas	cemiterio	40	roc_cemiterio_4254	feb_2012	1.5	10	10.43	85.69
tea	principe	tinhosa_grande	40	prin_tinhosa_grande_5183	jan_2016	15	10	3.2	47.78
swa	trindade	lixo	40	tri_lixo_10009	jun_2009	7	17	1.6	282.33
tea	stome	sete_pedras_2	40	sto_sete_pedras_2_3171	feb_2006	8	12	4.1	29.51
swa	rocas	poita_do_zeca	40	roc_poita_do_zeca_4657	feb_2012	10	10	5.62	132.36
swa	trindade	parcel	40	tri_parcel_104	jun_2009	7	11	2.3	345.85
swa	trindade	lixo	40	tri_lixo_222	jun_2009	12	17	2.58	789.13
tea	stome	rolas_hirundino	40	sto_rolas_hirundino_3056	feb_2006	11	7	0.82	15.19
swa	trindade	tartarugas	40	tri_tartarugas_269	jun_2009	15	9	4.7	272.43
swa	trindade	farol	40	tri_farol_246	jun_2009	15	11	2.52	830.83
swa	rocas	tartarugas	40	roc_tartarugas_711	feb_2012	1.5	10	5.1	217.71
cen_atla	ascension	guano_jetty	40	asc_guano_jetty_5022	aug_2015	12	15	3.83	338.83
tea	principe	ilheu_dos_mosteiros	40	prin_ilheu_dos_mosteiros_5100	jan_2016	5	15	25.75	597.16
swa	trindade	farol	40	tri_farol_169	jun_2009	7	16	3.4	1082.12
tea	principe	tinhosa_grande	40	prin_tinhosa_grande_5205	jan_2016	13	10	8.62	220.03
swa	rocas	cemiterio	40	roc_cemiterio_828	feb_2012	1.5	11	13.78	691.41
swa	trindade	ponta_norte	40	tri_ponta_norte_123	jun_2009	15	12	1.88	325.4
cen_atla	ascension	northeast_point	40	asc_northeast_point_5046	aug_2015	7	13	3.55	551.39
swa	trindade	farol	40	tri_farol_163	jun_2009	12	4	1.5	342.99
swa	rocas	poita_do_zeca	40	roc_poita_do_zeca_843	feb_2012	10	13	5.7	236.99
swa	trindade	tartarugas	40	tri_tartarugas_271	jun_2009	15	10	3.45	292.14
tea	stome	rolas_hirundino	40	sto_rolas_hirundino_3062	feb_2006	12	10	0.82	28.26
swa	rocas	tartarugas	40	roc_tartarugas_984	feb_2012	2	13	4.7	329.42
swa	rocas	piscina_das_rocas	40	roc_piscina_das_rocas_4655	feb_2012	1	12	3.48	310.85
swa	noronha	sancho	40	fno_sancho_1133	jun_2007	2	12	1.57	136.16
tea	principe	pedra_da_gale	40	prin_pedra_da_gale_5128	jan_2016	10	7	4.8	155.82
swa	martin_vaz	lado_oeste	40	mvz_lado_oeste_9991	aug_2013	10	4	0.15	48.64
swa	rocas	cemiterio	40	roc_cemiterio_1823	feb_2012	1	7	4.62	37.79
swa	rocas	cemiterio	40	roc_cemiterio_4860	feb_2012	0.5	9	10.12	100.05
tea	principe	bone_do_joquei	40	prin_bone_do_joquei_5214	jan_2016	6	14	16.02	252.53
cen_atla	ascension	comfortless_cove	40	asc_comfortless_cove_5081	aug_2015	4	19	4.7	499.12
tea	principe	pedra_da_gale	40	prin_pedra_da_gale_5107	jan_2016	18	13	10.78	294.49
swa	trindade	ponta_norte	40	tri_ponta_norte_130	jun_2009	5	12	3.17	302.64
swa	noronha	laje	40	fno_laje_1104	jun_2007	19	16	1.62	420.89
cen_atla	ascension	guano_jetty	40	asc_guano_jetty_5029	aug_2015	11	13	2.65	284.07
tea	principe	bone_do_joquei	40	prin_bone_do_joquei_5192	jan_2016	16	12	2.98	175.92
swa	rocas	podes_crer	40	roc_podes_crer_2726	feb_2012	1	6	10.65	107.09
tea	stome	cabras_kia	40	sto_cabras_kia_3015	feb_2006	12.2	24	4.45	413.38
cen_atla	ascension	guano_jetty	40	asc_guano_jetty_5012	aug_2015	9	12	7.22	290.23
tea	principe	pedra_da_gale	40	prin_pedra_da_gale_5160	jan_2016	9	11	1.98	233.56
swa	trindade	tartarugas	40	tri_tartarugas_181	jun_2009	3	12	3.05	377.92
tea	stome	cabras_kia	40	sto_cabras_kia_3017	feb_2006	17	15	4.5	17.05
swa	martin_vaz	lado_oeste	40	mvz_lado_oeste_5264	aug_2013	10	12	2.75	726.32
swa	trindade	calheta	40	tri_calheta_291	jun_2009	16	15	2.42	208.31
swa	trindade	tartarugas	40	tri_tartarugas_188	jun_2009	7	7	1.4	271.1
tea	principe	praia_banana	40	prin_praia_banana_5236	jan_2016	3	16	11.2	831.34
swa	rocas	laguna	40	roc_laguna_3643	feb_2012	1.5	9	5.95	25.4
swa	trindade	calheta	40	tri_calheta_312	jun_2009	22	11	3.88	245.77
swa	martin_vaz	lado_oeste	40	mvz_lado_oeste_5262	aug_2013	10	16	3.25	535.61
swa	rocas	piscina_das_rocas	40	roc_piscina_das_rocas_347	feb_2012	1	13	9	397.18
swa	trindade	calheta	40	tri_calheta_4853	jun_2009	22	20	4.05	767.16
swa	noronha	sancho	40	fno_sancho_1136	jun_2007	2.5	11	2.32	106.96
swa	noronha	sancho	40	fno_sancho_1125	jun_2007	9.5	9	1.45	263.59
swa	rocas	laguna	40	roc_laguna_835	feb_2012	2	12	7.35	149.63
swa	rocas	laguna	40	roc_laguna_421	feb_2012	2.5	10	8	218.39
tea	stome	rolas_hirundino	40	sto_rolas_hirundino_3059	feb_2006	14	12	3.27	21.11
swa	trindade	eme	40	tri_eme_264	jun_2009	9	12	1.9	416.02
swa	trindade	ponta_norte	40	tri_ponta_norte_193	jun_2009	12	10	2.27	123.81
swa	rocas	laguna	40	roc_laguna_1428	feb_2012	2	14	3.93	358.66
swa	trindade	tunel	40	tri_tunel_330	jun_2009	35	16	1.4	466.42
cen_atla	ascension	comfortless_cove	40	asc_comfortless_cove_5079	aug_2015	5	11	4.08	353.17
tea	stome	cabras_kia	40	sto_cabras_kia_3030	feb_2006	21	15	11.22	126.67
swa	martin_vaz	lado_oeste	40	mvz_lado_oeste_9996	aug_2013	9	16	2.6	917.91
tea	principe	bone_do_joquei	40	prin_bone_do_joquei_5211	jan_2016	10	11	2.33	191.75
cen_atla	ascension	guano_jetty	40	asc_guano_jetty_5005	aug_2015	12	9	1.75	227.27
cen_atla	ascension	northeast_point	40	asc_northeast_point_5036	aug_2015	8	12	3.8	440.15
swa	trindade	calheta	40	tri_calheta_317	jun_2009	14	15	6.33	366.87
tea	principe	ilheu_dos_mosteiros	40	prin_ilheu_dos_mosteiros_5123	jan_2016	10	8	8.72	995.39
swa	trindade	ponta_norte	40	tri_ponta_norte_200	jun_2009	8	10	1.15	406.7
tea	principe	bone_do_joquei	40	prin_bone_do_joquei_5195	jan_2016	8	9	2.6	191.09
swa	rocas	falsa_barreta	40	roc_falsa_barreta_3635	feb_2012	2	9	7.05	97.98
swa	noronha	sancho	40	fno_sancho_1135	jun_2007	2	8	1.92	69.75
swa	rocas	poita_do_zeca	40	roc_poita_do_zeca_3666	feb_2012	8	7	8.4	45.3
swa	trindade	parcel	40	tri_parcel_175	jun_2009	20	18	2.67	961.46
tea	principe	ilheu_bombom	40	prin_ilheu_bombom_5170	jan_2016	12	21	8.25	285.86
swa	noronha	raquel	40	fno_raquel_1119	jun_2007	1.5	13	1.15	392.61
swa	martin_vaz	lado_oeste	40	mvz_lado_oeste_9983	aug_2013	10	10	1.6	275.73
swa	rocas	ancoras	40	roc_ancoras_823	feb_2012	1	8	6.4	62.01
swa	noronha	raquel	40	fno_raquel_1115	jun_2007	1	11	2.55	256.01
swa	rocas	barretinha	40	roc_barretinha_3624	feb_2012	2	8	7.62	1159.87
tea	principe	ilheu_dos_mosteiros	40	prin_ilheu_dos_mosteiros_5118	jan_2016	10	12	13.55	583.84
tea	stome	rolas_braga	40	sto_rolas_braga_3049	feb_2006	20	17	4.38	178.37
tea	principe	pedra_da_gale	40	prin_pedra_da_gale_5156	jan_2016	18	13	9.95	667.24
swa	rocas	cemiterio	40	roc_cemiterio_286	feb_2012	1	8	4.35	13.87
swa	rocas	falsa_barreta	40	roc_falsa_barreta_14677	feb_2012	2	8	2.6	47.84
cen_atla	ascension	guano_jetty	40	asc_guano_jetty_5020	aug_2015	10	13	5.25	572.93
swa	noronha	sancho	40	fno_sancho_1126	jun_2007	8.5	17	10.47	498.15
swa	trindade	ponta_norte	40	tri_ponta_norte_4856	jun_2009	5	18	3.42	844.91
swa	rocas	cemiterio	40	roc_cemiterio_332	feb_2012	1.5	6	10.5	91.57
swa	trindade	tartarugas	40	tri_tartarugas_185	jun_2009	3	12	2.52	505.12
tea	stome	sete_pedras_1	40	sto_sete_pedras_1_3155	feb_2006	20	11	12.2	300.8
tea	stome	cabras_kia	40	sto_cabras_kia_3034	feb_2006	19	15	9.75	106.58
tea	principe	bone_do_joquei	40	prin_bone_do_joquei_5190	jan_2016	19	15	8.68	218.64
swa	martin_vaz	lado_oeste	40	mvz_lado_oeste_9989	aug_2013	10	8	0.88	127.15
tea	principe	tinhosa_grande	40	prin_tinhosa_grande_5187	jan_2016	10	8	4.33	119.35
tea	stome	rolas_hirundino	40	sto_rolas_hirundino_3057	feb_2006	8	12	4.6	98.17
swa	trindade	calheta	40	tri_calheta_310	jun_2009	22	14	2.6	357.97
swa	rocas	piscina_das_rocas	40	roc_piscina_das_rocas_978	feb_2012	1	13	3.52	304.89
cen_atla	ascension	guano_jetty	40	asc_guano_jetty_5018	aug_2015	7	16	5.47	433.34
swa	rocas	salao	40	roc_salao_1304	feb_2012	8.5	10	4	182.95
tea	stome	cabras_kia	40	sto_cabras_kia_3029	feb_2006	21	16	5.22	84.04
swa	rocas	cemiterio	40	roc_cemiterio_553	feb_2012	2	8	12.88	637.48
swa	trindade	parcel	40	tri_parcel_281	jun_2009	7	11	2.4	534.86
tea	stome	rolas_hirundino	40	sto_rolas_hirundino_3066	feb_2006	12	10	8.95	23.66
swa	rocas	ancoras	40	roc_ancoras_548	feb_2012	1.5	11	2.68	75.94
swa	rocas	cemiterio	40	roc_cemiterio_3632	feb_2012	1.5	11	7.38	247.22
tea	stome	sete_pedras_1	40	sto_sete_pedras_1_3157	feb_2006	17	11	15.97	436.46
tea	principe	ilheu_dos_mosteiros	40	prin_ilheu_dos_mosteiros_5120	jan_2016	8	12	11.22	316.56
swa	trindade	calheta	40	tri_calheta_4845	jun_2009	15	12	3.15	198.11
swa	trindade	cabritas	40	tri_cabritas_156	jun_2009	6	12	3.5	522.43
cen_atla	ascension	guano_jetty	40	asc_guano_jetty_5014	aug_2015	10	17	3.48	568.94
swa	noronha	sancho	40	fno_sancho_1132	jun_2007	3.5	10	2.4	188.73
swa	rocas	piscina_das_rocas	40	roc_piscina_das_rocas_568	feb_2012	1	12	7.58	826.54
swa	trindade	cabritas	40	tri_cabritas_157	jun_2009	5	11	2.1	621.81
swa	rocas	salao	40	roc_salao_14681	feb_2012	5	8	4.12	185.69
tea	stome	sete_pedras_2	40	sto_sete_pedras_2_3161	feb_2006	15	10	1.95	124.11
swa	trindade	lixo	40	tri_lixo_10011	jun_2009	8	15	2.35	713.06
swa	stpauls_rocks	cabeco_tartaruga	40	spr_cabeco_tartaruga_2724	apr_2012	24	12	7.75	358.42
swa	rocas	tartarugas	40	roc_tartarugas_1439	feb_2012	1	11	5.77	104.17
swa	rocas	falsa_barreta	40	roc_falsa_barreta_3846	feb_2012	3	8	5.12	58.64
swa	trindade	racha	40	tri_racha_95	jun_2009	20	15	1.82	909.77
swa	rocas	salao	40	roc_salao_4290	feb_2012	8	10	6.05	132.13
swa	rocas	ancoras	40	roc_ancoras_14687	feb_2012	3	8	14.4	395.7
tea	stome	sete_pedras_1	40	sto_sete_pedras_1_3146	feb_2006	12	12	5	111.04
swa	stpauls_rocks	boia	40	spr_boia_2710	apr_2012	33	10	13.55	325.56
swa	rocas	falsa_barreta	40	roc_falsa_barreta_2696	feb_2012	4	9	4.67	48.76
tea	stome	cabras_kia	40	sto_cabras_kia_3033	feb_2006	21	15	11.35	434.35
swa	trindade	farol	40	tri_farol_248	jun_2009	10	13	1.07	220.79
swa	trindade	tartarugas	40	tri_tartarugas_117	jun_2009	12	10	2.33	648.09
tea	stome	cabras_kia	40	sto_cabras_kia_3037	feb_2006	13	14	10.45	17.76
tea	stome	cabras_kia	40	sto_cabras_kia_3032	feb_2006	21	19	29.95	1331.94
swa	martin_vaz	lado_oeste	40	mvz_lado_oeste_9988	aug_2013	9.3	12	1.38	320.05
swa	trindade	cabritas	40	tri_cabritas_211	jun_2009	12	11	2.7	182.81
swa	rocas	cemiterio	40	roc_cemiterio_1229	feb_2012	2	12	12.97	444.53
swa	rocas	salao	40	roc_salao_14679	feb_2012	4	8	4.4	398.94
tea	principe	ilheu_bombom	40	prin_ilheu_bombom_5163	jan_2016	10	13	6.47	116.54
swa	rocas	tartarugas	40	roc_tartarugas_168	feb_2012	1.5	10	25.85	1382.21
tea	principe	pedra_da_gale	40	prin_pedra_da_gale_5125	jan_2016	21	17	4.78	236.74
swa	rocas	piscina_das_rocas	40	roc_piscina_das_rocas_1297	feb_2012	1	10	3.85	260.64
tea	stome	sete_pedras_2	40	sto_sete_pedras_2_3165	feb_2006	13	15	1.95	237.11
swa	trindade	cabritas	40	tri_cabritas_212	jun_2009	12	11	1.1	375.01
swa	trindade	tartarugas	40	tri_tartarugas_277	jun_2009	5	8	4.1	392
swa	rocas	cemiterio	40	roc_cemiterio_4809	feb_2012	1	7	2.42	11.63
tea	stome	sete_pedras_2	40	sto_sete_pedras_2_3162	feb_2006	14	11	2.1	37.8
swa	rocas	cemiterio	40	roc_cemiterio_135	feb_2012	1	9	1.57	257.64
swa	trindade	farol	40	tri_farol_254	jun_2009	8	16	3.73	1072.8
swa	rocas	falsa_barreta	40	roc_falsa_barreta_14678	feb_2012	3	9	5.75	205.24
tea	principe	bone_do_joquei	40	prin_bone_do_joquei_5207	jan_2016	21	12	2.3	171.24
